S	-10mV	0mV	10mV	20mV	30mV	40mV
-0.15	0	0	0	0	0	0
-0.1496	0	0	0	0	0	0
-0.1492	0	0	0	0	0	0
-0.1488	0	0	0	0	0	0
-0.1484	0	0	0	0	0	0
-0.148	0	0	0	0	0	0
-0.1476	0	0	0	0	0	0
-0.1472	0	0	0	0	0	0
-0.1468	0	0	0	0	0	0
-0.1464	0	0	0	0	0	0
-0.146	0	0	0	0	0	0
-0.1456	0	0	0	0	0	0
-0.1452	0	0	0	0	0	0
-0.1448	0	0	0	0	0	0
-0.1444	0	0	0	0	0	0
-0.144	0	0	0	0	0	0
-0.1436	0	0	0	0	0	0
-0.1432	0	0	0	0	0	0
-0.1428	0	0	0	0	0	0
-0.1424	0	0	0	0	0	0
-0.142	0	0	0	0	0	0
-0.1416	0	0	0	0	0	0
-0.1412	0	0	0	0	0	0
-0.1408	0	0	0	0	0	0
-0.1404	0	0	0	0	0	0
-0.14	0	0	0	0	0	0
-0.1396	0	0	0	0	0	0
-0.1392	0	0	0	0	0	0
-0.1388	0	0	0	0	0	0
-0.1384	0	0	0	0	0	0
-0.138	0	0	0	0	0	0
-0.1376	0	0	0	0	0	0
-0.1372	0	0	0	0	0	0
-0.1368	0	0	0	0	0	0
-0.1364	0	0	0	0	0	0
-0.136	0	0	0	0	0	0
-0.1356	0	0	0	0	0	0
-0.1352	0	0	0	0	0	0
-0.1348	0	0	0	0	0	0
-0.1344	0	0	0	0	0	0
-0.134	0	0	0	0	0	0
-0.1336	0	0	0	0	0	0
-0.1332	0	0	0	0	0	0
-0.1328	0	0	0	0	0	0
-0.1324	0	0	0	0	0	0
-0.132	0	0	0	0	0	0
-0.1316	0	0	0	0	0	0
-0.1312	0	0	0	0	0	0
-0.1308	0	0	0	0	0	0
-0.1304	0	0	0	0	0	0
-0.13	0	0	0	0	0	0
-0.1296	0	0	0	0	0	0
-0.1292	0	0	0	0	0	0
-0.1288	0	0	0	0	0	0
-0.1284	0	0	0	0	0	0
-0.128	0	0	0	0	0	0
-0.1276	0	0	0	0	0	0
-0.1272	0	0	0	0	0	0
-0.1268	0	0	0	0	0	0
-0.1264	0	0	0	0	0	0
-0.126	0	0	0	0	0	0
-0.1256	0	0	0	0	0	0
-0.1252	0	0	0	0	0	0
-0.1248	0	0	0	0	0	0
-0.1244	0	0	0	0	0	0
-0.124	0	0	0	0	0	0
-0.1236	0	0	0	0	0	0
-0.1232	0	0	0	0	0	0
-0.1228	0	0	0	0	0	0
-0.1224	0	0	0	0	0	0
-0.122	0	0	0	0	0	0
-0.1216	0	0	0	0	0	0
-0.1212	0	0	0	0	0	0
-0.1208	0	0	0	0	0	0
-0.1204	0	0	0	0	0	0
-0.12	0	0	0	0	0	0
-0.1196	0	0	0	0	0	0
-0.1192	0	0	0	0	0	0
-0.1188	0	0	0	0	0	0
-0.1184	0	0	0	0	0	0
-0.118	0	0	0	0	0	0
-0.1176	0	0	0	0	0	0
-0.1172	0	0	0	0	0	0
-0.1168	0	0	0	0	0	0
-0.1164	0	0	0	0	0	0
-0.116	0	0	0	0	0	0
-0.1156	0	0	0	0	0	0
-0.1152	0	0	0	0	0	0
